name,lb,final_num_stations
JACKSON.IN2-7,8,8
JACKSON.IN2-9,6,6
JACKSON.IN2-10,5,5
JACKSON.IN2-13,4,4
JACKSON.IN2-14,4,4
JACKSON.IN2-21,3,3
JAESCHKE.IN2-6,8,8
JAESCHKE.IN2-7,7,7
JAESCHKE.IN2-8,6,6
JAESCHKE.IN2-10,4,5
JAESCHKE.IN2-18,3,3
LUTZ1.IN2-1414,11,12
MANSOOR.IN2-48,4,5
MANSOOR.IN2-62,3,4
MANSOOR.IN2-94,2,3
MERTENS.IN2-6,6,6
MERTENS.IN2-7,5,5
MERTENS.IN2-8,5,5
MERTENS.IN2-10,3,3
MERTENS.IN2-15,2,3
MERTENS.IN2-18,2,2
MITCHELL.IN2-21,5,7
MITCHELL.IN2-26,5,6
MITCHELL.IN2-35,3,6
MITCHELL.IN2-39,3,6
